M1厂商绩效报表
﻿统计时间,批次,产品,队列,公司,分案逾期本息,分案剩余本金,分案户数,回退剩余本金,金额回收率,剩余本金回退率,户数回收率,今日进度,8-10进度,10-12进度,12-14进度,14-16进度,16-18进度,18-20进度,20-22进度
2026-05-22 17:00:00,2026-05,放心借,HR_S2,401,--,--,--,--,79.82%,79.35%,73.47%,0.53%,0.18%,0.11%,0.10%,0.09%,0.05%,0,0
2026-05-22 17:00:00,2026-05,放心借,HR_S2,404,--,--,--,--,79.71%,79.34%,72.69%,0.49%,0.05%,0.10%,0.08%,0.16%,0.09%,0,0
2026-05-22 17:00:00,2026-05,放心借,HR_S2,101,--,--,--,--,79.15%,78.59%,72.91%,0.52%,0.17%,0.12%,0.10%,0.10%,0.03%,0,0
2026-05-22 17:00:00,2026-05,放心借,HR_S2,105,--,--,--,--,79.23%,78.57%,72.08%,0.56%,0.16%,0.11%,0.08%,0.13%,0.08%,0,0
2026-05-22 17:00:00,2026-05,放心借,HR_S2,402,--,--,--,--,79.00%,78.32%,72.98%,0.57%,0.12%,0.16%,0.05%,0.16%,0.08%,0,0
2026-05-22 17:00:00,2026-05,放心借,HR_S2,xy,"286,077,035.98","1,484,532,003.32",32076,"1,162,218,589.96",78.81%,78.29%,72.43%,0.60%,0.14%,0.16%,0.09%,0.12%,0.09%,0,0
2026-05-22 17:00:00,2026-05,放心借,HR_S2,158,--,--,--,--,78.81%,78.23%,72.35%,0.58%,0.13%,0.13%,0.09%,0.16%,0.08%,0,0
2026-05-22 17:00:00,2026-05,放心借,HR_S2,122,--,--,--,--,79.04%,78.10%,72.52%,0.52%,0.14%,0.13%,0.08%,0.10%,0.07%,0,0
2026-05-22 17:00:00,2026-05,放心借,HR_S2,155,--,--,--,--,78.39%,77.84%,70.80%,0.56%,0.24%,0.04%,0.11%,0.12%,0.06%,0,0
2026-05-22 17:00:00,2026-05,放心借,HR_S2,159,--,--,--,--,77.04%,75.79%,69.98%,0.88%,0.17%,0.19%,0.19%,0.28%,0.05%,0,0
