催员,组别,案件数,分案剩余本金,累计回退,累计回退率,各段位与第一名差异,首催分案,首催回退,首催回退率,回退额排名,当日老案回退,类别,地区
w36894,ZZ-F1,1167,22773675.93,20511068.42,0.9006000000000001,0.0,1735929.87,1453463.71,0.8373,1,285462.45,大额,
w42295,ZZ-F5,1188,22767497.09,20147515.79,0.8848999999999999,363552.6300000027,1823007.2,1628661.06,0.8934000000000001,2,49082.01999999979,大额,
w36898,ZZ-F2,1027,22810123.39,19864606.18,0.8709,646462.2400000021,1753891.75,1641740.78,0.9361,3,179771.5400000003,大额,
w36902,ZZ-F4,1382,22794878.1,18718386.28,0.8212,1792682.1400000006,1707892.7,1044927.1,0.6118,4,173442.42,大额,
w46825,ZZ-F3,1069,22663159.97,18664898.5,0.8236,1846169.9200000018,1750717.43,1409618.69,0.8051999999999999,5,195697.8700000001,大额,
w46824,ZZ-F3,1110,23017896.29,18594256.72,0.8078,1916811.700000003,1683638.73,1053962.65,0.626,6,115519.29,大额,
w46870,CD-F2,1319,23000735.96,18535355.89,0.8059000000000001,1975712.5300000012,2081541.17,1617927.55,0.7773,7,59591.21999999997,大额,
w39854,ZZ-F2,927,22776869.43,18420357.44,0.8087000000000001,2090710.9800000004,1652721.3,801041.01,0.48469999999999996,8,144751.5600000001,大额,
w40836,CD-F1,1279,22688925.4,18398130.41,0.8109000000000001,2112938.0100000016,1823844.68,1504815.85,0.8251000000000001,9,131112.46,大额,
w39213,ZZ-F1,1074,21676527.17,18287476.44,0.8437,2223591.9800000004,1591453.73,1415437.52,0.8894,10,330384.3400000001,大额,
w40835,CD-F2,1052,22252962.1,18198821.7,0.8178,2312246.7200000025,1714854.32,1171730.41,0.6833,11,227289.6799999999,大额,
w39553,ZZ-F2,1064,21217389.32,17922259.6,0.8447,2588808.8200000003,1607871.9,1229729.21,0.7648,12,499837.2200000002,大额,
w36891,ZZ-F1,1147,21861494.35,17871464.68,0.8175,2639603.740000002,1857704.59,1644712.15,0.8853,13,70319.73000000021,大额,
w40822,CD-F2,1102,22274631.57,17504550.51,0.7859,3006517.91,1760672.58,1286986.74,0.731,14,0.0,大额,
w40823,CD-F1,1196,22837542.82,17051187.37,0.7465999999999999,3459881.0500000007,1783676.39,1012051.79,0.5674,15,267914.47,大额,
w36901,ZZ-F1,964,20904428.66,17039948.41,0.8151,3471120.0100000016,1458446.75,1374127.29,0.9422,16,97224.29999999981,大额,
w47369,ZZ-F5,1182,21805835.19,16977730.63,0.7786,3533337.790000003,1705689.68,1356802.82,0.7955,17,313307.6399999999,大额,
w38985,ZZ-F4,1160,21229141.77,16806392.36,0.7917000000000001,3704676.0600000024,1808426.87,1437153.97,0.7947,18,166083.6700000002,大额,
w40817,CD-F1,1018,20808256.13,15330420.05,0.7367,5180648.370000001,0.0,0.0,0.0,19,12538.02,大额,
自然回收,自然流,0,15293270.74,15293270.74,1.0,5217797.680000002,0,0,0,0,0,常规,
w38138,ZZ-F4,1263,20834628.58,15135870.5,0.7265,5375197.920000002,1661424.93,1050532.42,0.6323,20,227952.6200000001,大额,
w15404,CD-F3,1475,10777759.5,8433190.89,0.7825,12077877.530000001,695256.54,300858.72,0.43270000000000003,1,100549.6500000001,常规,
