催员,当日累计回退,10点前回款,10-12点,12-14点,14-16点,16-18点,18-20点,20-23点,当日回退排名,地区,组别,备注
w36902,2113537.23,511745.9,595932.17,0.0,155399.72,336773.6,321236.25,192449.59,1,郑州,ZZ-F4,大额
w36891,1844574.47,934810.97,472552.97,0.0,351881.76,85328.77,0.0,0.0,2,郑州,ZZ-F1,大额
w46825,1821308.56,865101.93,198207.75,121402.49,235709.75,151386.71,150000.0,99499.93,3,郑州,ZZ-F3,大额
w40823,1785078.42,509005.9,294205.35,453905.73,209868.67,134938.47,183154.3,0.0,4,成都一,CD-F1,大额
w39854,1745096.26,922151.37,0.0,83898.69,230502.57,470810.6,37733.03,0.0,5,郑州,ZZ-F2,大额
w40817,1714556.94,605941.95,531482.45,184928.4,78057.69,192448.5,0.0,121697.95,6,成都一,CD-F1,大额
w36901,1713278.86,98451.48,584762.0,392389.6,187645.21,250717.77,82097.1,117215.7,7,郑州,ZZ-F1,大额
自然回收,1691888.11,0,0,0,0,0,0,0,8,全部,自然流,常规
w36894,1655005.67,709664.38,498009.61,33538.2,162687.52,0.0,0.0,251105.96,9,郑州,ZZ-F1,大额
w40836,1638245.7,801210.53,561393.95,0.0,83314.05,93314.65,0.0,99012.52,10,成都一,CD-F1,大额
w42295,1590965.56,1075430.57,260040.63,37930.84,118453.9,99109.62,0.0,0.0,11,郑州,ZZ-F5,大额
w46870,1587842.15,210804.11,757291.78,93469.65,353778.95,46497.81,125999.85,0.0,12,成都一,CD-F2,大额
w36898,1528547.66,336495.43,558284.45,383957.06,115000.0,0.0,0.0,134810.72,13,郑州,ZZ-F2,大额
w38985,1513915.01,852477.02,453746.14,0.0,115795.34,91896.51,0.0,0.0,14,郑州,ZZ-F4,大额
w39553,1502158.85,279789.63,799846.22,0.0,0.0,316897.59,2781.98,102843.43,15,郑州,ZZ-F2,大额
w39213,1401996.93,493487.49,404889.4,0.0,99793.34,155291.63,186857.65,61677.42,16,郑州,ZZ-F1,大额
w40822,1344575.46,760988.81,279562.38,36340.3,55852.0,91532.08,0.0,120299.89,17,成都一,CD-F2,大额
w46824,1321329.53,429171.84,719886.27,85519.85,86751.57,0.0,0.0,0.0,18,郑州,ZZ-F3,大额
w38138,1307694.43,421616.88,264221.17,106610.46,406062.17,109183.75,0.0,0.0,19,郑州,ZZ-F4,大额
w47369,1246972.17,578049.28,448148.07,220774.82,0.0,0.0,0.0,0.0,20,郑州,ZZ-F5,大额
w40835,1111501.99,537221.7,293163.53,112125.69,168991.07,0.0,0.0,0.0,21,成都一,CD-F2,大额
w15404,1002486.91,305123.39,438022.45,99581.05,42715.67,3174.29,39391.89,74478.17,22,成都二,CD-F3,常规
w25827,916886.32,556360.05,308493.91,3422.57,38610.97,9998.82,0.0,0.0,23,成都二,CD-F3,常规
w21124,746227.33,197167.6,301486.21,157380.3,47898.94,2579.29,39714.99,0.0,24,成都二,CD-F3,常规
w21154,655856.83,210914.91,234274.54,0.0,129970.96,65000.0,0.0,15696.42,25,成都二,CD-F3,常规
w46528,640512.88,122986.1,236918.87,13751.49,151728.4,42289.34,56371.26,16467.42,26,成都一,CD-F1,常规
w47429,636058.2,155457.32,254818.9,0.0,137727.3,88054.68,0.0,0.0,27,郑州,ZZ-F1,常规
w44077,633004.91,309698.98,103227.66,90271.78,22469.34,21022.93,51693.92,34620.3,28,成都一,CD-F1,常规
w47428,625889.01,131611.22,167114.77,21397.85,186187.48,50710.6,26193.04,42674.05,29,郑州,ZZ-F3,常规
w44731,623210.48,219182.18,77523.55,78867.99,32615.27,113234.47,75582.8,26204.22,30,郑州,ZZ-F1,常规
w44256,606710.01,196663.99,133140.57,110388.55,35658.24,0.0,60581.48,70277.18,31,成都二,CD-F3,常规
w42684,590621.59,188199.72,348037.96,0.0,15527.34,13857.35,14148.58,10850.64,32,成都一,CD-F2,常规
w46576,589726.38,132408.39,158193.53,112448.35,119523.82,67152.29,0.0,0.0,33,郑州,ZZ-F5,常规
w47483,578841.94,186182.18,89089.7,41583.85,60291.29,167496.98,34197.94,0.0,34,郑州,ZZ-F4,常规
w41234,572473.94,167751.38,181595.4,53203.46,0.0,62463.47,78640.38,28819.85,35,郑州,ZZ-F2,常规
w44661,568936.68,92376.82,140003.13,84407.46,48147.51,141708.81,57885.0,4407.95,36,郑州,ZZ-F2,常规
w47239,563881.58,133014.36,323449.25,7884.74,45629.53,31212.38,22691.32,0.0,37,郑州,ZZ-F5,常规
w40827,559346.62,33871.4,235886.93,83223.79,171035.22,35329.28,0.0,0.0,38,成都一,CD-F2,常规
w40821,542866.08,8644.32,325091.86,43573.55,22997.29,57691.05,84868.01,0.0,39,成都一,CD-F2,常规
w46721,540306.33,324074.51,86342.81,70393.29,0.0,57202.28,0.0,2293.44,40,郑州,ZZ-F1,常规
w36900,537877.14,227342.28,171125.82,99407.49,0.0,40001.55,0.0,0.0,41,郑州,ZZ-F4,常规
w47427,533916.52,142758.68,125584.12,9363.93,182589.8,73619.99,0.0,0.0,42,郑州,ZZ-F3,常规
w44078,533195.96,234923.44,51163.56,68364.84,54045.99,124698.13,0.0,0.0,43,成都一,CD-F1,常规
w46869,526728.78,155641.08,261527.16,22420.52,10713.7,76426.32,0.0,0.0,44,成都一,CD-F2,常规
w43034,518597.67,280561.04,122704.75,28853.11,0.0,60299.13,26179.64,0.0,45,郑州,ZZ-F1,常规
w12793,515743.17,205140.87,133872.89,122562.33,0.0,54167.08,0.0,0.0,46,成都一,CD-F1,常规
w36890,513360.35,204114.4,20144.29,90628.7,52931.31,0.0,54323.69,91217.96,47,郑州,ZZ-F1,常规
w45633,507093.62,154366.0,195092.35,38276.24,47218.05,46290.69,25850.29,0.0,48,郑州,ZZ-F2,常规
w36885,505833.03,279946.2,90565.33,0.0,0.0,63059.82,72261.68,0.0,49,郑州,ZZ-F1,常规
w44924,504371.44,137553.53,77304.76,74444.93,42450.08,102910.53,0.0,69707.61,50,郑州,ZZ-F4,常规
w46477,502614.69,44458.13,254121.15,0.0,20000.0,18430.73,83643.02,81961.66,51,郑州,ZZ-F5,常规
w43170,502425.1,104138.44,188644.82,91420.39,74756.96,34314.93,9149.56,0.0,52,成都一,CD-F2,常规
w44664,499813.27,189741.09,77077.83,66554.44,57922.61,0.0,103473.69,5043.61,53,郑州,ZZ-F1,常规
w47575,486992.64,137336.13,52262.64,142324.93,113924.08,0.0,0.0,41144.86,54,郑州,ZZ-F3,常规
w40826,486387.38,189005.12,86652.91,24294.11,24799.47,65407.89,62471.63,33756.25,55,成都一,CD-F2,常规
w46390,482677.17,186891.94,107229.38,40380.52,39512.63,102646.98,6015.72,0.0,56,郑州,ZZ-F5,常规
w36893,475068.47,104656.92,121817.3,160372.34,0.0,83221.91,5000.0,0.0,57,郑州,ZZ-F1,常规
w41336,471352.12,249906.09,4534.8,62292.13,25746.99,89034.74,39837.37,0.0,58,郑州,ZZ-F2,常规
w42347,465331.08,72252.81,176077.73,96153.15,67767.43,25000.0,0.0,28079.96,59,郑州,ZZ-F4,常规
w48124,464442.03,82235.23,149454.15,128537.95,34163.04,70051.66,0.0,0.0,60,成都一,CD-F1,常规
w47497,463575.07,183491.65,40000.0,59966.05,0.0,112318.14,24226.91,43572.32,61,郑州,ZZ-F4,常规
w47230,462101.4,286559.96,48618.21,26738.88,30374.85,6586.68,63222.82,0.0,62,郑州,ZZ-F2,常规
w46665,461392.95,141110.99,262470.42,0.0,0.0,0.0,57811.54,0.0,63,郑州,ZZ-F5,常规
w39110,460268.61,180389.76,101102.14,0.0,100018.84,51945.26,26812.61,0.0,64,郑州,ZZ-F1,常规
w39427,459100.53,89905.6,83707.51,156010.65,0.0,16014.82,42361.23,71100.72,65,郑州,ZZ-F1,常规
w39543,458063.89,194237.94,196850.26,1701.46,0.0,1025.03,8860.47,55388.73,66,郑州,ZZ-F4,常规
w40824,457432.6,160513.26,117339.88,25745.23,44353.45,65980.78,0.0,43500.0,67,成都一,CD-F1,常规
